delta,lambda,alpha,mean,median,q25,q75,cvar
0.01,0.2,0.8,2.5601211120355765,0.7735974105017196,0.0,5.009032477294947,2.756852948776953
0.01,0.2,0.9,2.560121112035578,0.7735974105017196,0.0,5.009032477294964,2.7925469949864574
0.01,0.2,0.95,2.5601211120355765,0.7735974105017196,0.0,5.009032477294947,2.8429084691226376
0.01,0.5,0.8,2.5601211120355765,0.7735974105017196,0.0,5.009032477294947,2.756852948776953
0.01,0.5,0.9,2.560121112035578,0.7735974105017196,0.0,5.009032477294964,2.7925469949864574
0.01,0.5,0.95,2.560121112035578,0.7735974105017196,0.0,5.009032477294964,2.8429084691226376
0.01,0.8,0.8,2.560121112035571,0.7735974105017196,0.0,5.009032477294947,2.756852948776948
0.01,0.8,0.9,2.560121112035578,0.7735974105017196,0.0,5.009032477294964,2.7925469949864574
0.01,0.8,0.95,2.5601211120355765,0.7735974105017196,0.0,5.009032477294947,2.8429084691226376
0.05,0.2,0.8,7.589551856280417,1.12179875278961,0.0,11.73550011369246,8.135544406541754
0.05,0.2,0.9,7.589551856280418,1.12179875278961,0.0,11.73550011369246,8.254382078971506
0.05,0.2,0.95,7.589551856280418,1.12179875278961,0.0,11.735500113692442,8.389791985067486
0.05,0.5,0.8,7.589551856280417,1.12179875278961,0.0,11.73550011369246,8.135544406541754
0.05,0.5,0.9,7.589551856280418,1.12179875278961,0.0,11.73550011369246,8.254382078971506
0.05,0.5,0.95,7.589551856280417,1.12179875278961,0.0,11.735500113692442,8.389791985067484
0.05,0.8,0.8,7.589551856280417,1.12179875278961,0.0,11.73550011369246,8.135544406541754
0.05,0.8,0.9,7.589551856280418,1.12179875278961,0.0,11.73550011369246,8.254382078971506
0.05,0.8,0.95,7.589551856280418,1.12179875278961,0.0,11.73550011369246,8.389791985067486
0.1,0.2,0.8,9.406890612187006,1.12179875278961,0.0,16.584817993108672,10.117675268535937
0.1,0.2,0.9,9.406890612187008,1.12179875278961,0.0,16.584817993108672,10.280572750569055
0.1,0.2,0.95,9.406890612187008,1.12179875278961,0.0,16.584817993108672,10.442389812209578
0.1,0.5,0.8,9.406890612187006,1.12179875278961,0.0,16.584817993108672,10.117675268535937
0.1,0.5,0.9,9.406890612187008,1.12179875278961,0.0,16.584817993108672,10.280572750569055
0.1,0.5,0.95,9.406890612187008,1.12179875278961,0.0,16.584817993108672,10.442389812209578
0.1,0.8,0.8,9.406890612187006,1.12179875278961,0.0,16.584817993108672,10.117675268535937
0.1,0.8,0.9,9.406890612187006,1.12179875278961,0.0,16.584817993108672,10.280572750569055
0.1,0.8,0.95,9.406890612187006,1.12179875278961,0.0,16.584817993108672,10.442389812209578
0.2,0.2,0.8,10.581107314851588,1.12179875278961,0.0,24.704985455106236,11.408512196334081
0.2,0.2,0.9,10.581107314851588,1.12179875278961,0.0,24.704985455106236,11.602651127327254
0.2,0.2,0.95,10.581107314851588,1.12179875278961,0.0,24.704985455106236,11.785719876556888
0.2,0.5,0.8,10.581107314851588,1.12179875278961,0.0,24.704985455106236,11.408512196334081
0.2,0.5,0.9,10.581107314851588,1.12179875278961,0.0,24.704985455106236,11.602651127327254
0.2,0.5,0.95,10.581107314851588,1.12179875278961,0.0,24.704985455106236,11.785719876556888
0.2,0.8,0.8,10.581107314851588,1.12179875278961,0.0,24.704985455106236,11.408512196334081
0.2,0.8,0.9,10.581107314851588,1.12179875278961,0.0,24.704985455106236,11.602651127327254
0.2,0.8,0.95,10.581107314851588,1.12179875278961,0.0,24.704985455106236,11.785719876556888
